Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISSN,Revista,Año,Volumen,Fasciculo,Página inicial,Página final,Palabras,Area,Sectores
Prueba UNIMINUTO,Caracterización de las funciones ejecutivas,Artículo - Publicado en revista especializada,"JONATHAN ALEXANDER MORA PINILLA, PRUEBA UNIMINUTO",  Colombia,,, 2590-8200,Práxis Pedagógica,2020, 23, N/A, 77, 99,"Función ejecutiva,",,
Prueba Monitores,Growth rates of dynamic dermal model exposed to laminar flow and magnetic fields,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Brasil, Sociedade Brasileira de Engenharia Biomedica, 10.1590/2446-4740.01415, 2446-4740,Research on Biomedical Engineering,2016, 32, 1, 55, 62,,,
Prueba Monitores,COMPOSICIÓN GENÉTICA DE UNA POBLACIÓN DEL SUROCCIDENTE DE COLOMBIA,Artículo - Publicado en revista especializada,PRUEBA MONITORES, , Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2012, 48, 1, 21, 48,,,
Prueba Monitores,Composición genética de una población del suroccidente de Colombia,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Colombia, Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2011, 48, 1, 1, 40,,,
Prueba Monitores,Composición genética de una población del suroccidente de Colombia,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Colombia, Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2012, 48, 1, 21, 48,,,
Prueba Monitores,Composición Genética de una población del suroccidente de Colombia,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Colombia, Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2012, 48, 1, 21, 48,,,
Prueba Monitores,COMPOSICIÓN GENÉTICA DE UNA POBLACIÓN DEL SUROCCIDENTE DE COLOMBIA,Artículo - Publicado en revista especializada,PRUEBA MONITORES, , Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2012, 48, 1, 21, 48,,,
Prueba Monitores,Composicion genetica de una poblacion del suroccidente de colombia,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Colombia, Instituto Colombiano de Antropología e Historia, N/A, 0486-6525,Revista Colombiana de Antropologia,2018, 48, 1, 21, 48,,,
Prueba Monitores,Composición Genética de una Población del Suroccidente de Colombia,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Venezuela, Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2012, 48, 1, 21, 48,,,
Prueba Monitores,Composición genética de una población del suroccidente de colombia,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Venezuela, Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2012, 48, 1, 1, 10,,,
Prueba Monitores,Composición Genética de una población del suroccidente de Colombia,Artículo - Publicado en revista especializada,PRUEBA MONITORES,  Venezuela, Instituto Colombiano de Antropología e Historia,, 0486-6525,Revista Colombiana de Antropologia,2012, 48, 1, 1, 48,,,
